
Sun Mar 23 10:07:19 2025 Connect MQTT server tcp://10.1.1.172:1883, Energy_Mqtt_BMC1
Subdev AI  0 Analog  Channels 2 Maxdata 255 Ranges 1 : ad_range .min = 0.000, max = 5.000
Subdev AO  1 Analog  Channels 2 Maxdata 255 Ranges 1 : da_range .min = 0.000, max = 5.000
Subdev DI  2 Digital Channels 6 Maxdata 1 Ranges 1 
Subdev DO  3 Digital Channels 8 Maxdata 1 Ranges 1 
Subdev COU 4 Digital Channels 2 Maxdata 65535 Ranges 1 
Sun Mar 23 10:07:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:07:50 2025 Comedi Trigger from MQTT server, Topic comedi/bmc/data/bmc trigger
Sun Mar 23 10:07:50 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:07:51 2025 Comedi Trigger from MQTT server, Topic comedi/bmc/data/bmc trigger
Sun Mar 23 10:07:51 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:07:51 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:07:53 2025 Comedi Trigger from MQTT server, Topic comedi/bmc/data/bmc trigger
Sun Mar 23 10:07:53 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:07:53 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:08:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:08:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:09:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:09:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:10:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:10:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:11:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:11:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:12:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:12:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:13:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:13:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:14:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:14:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:15:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:15:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:16:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:16:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:17:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:17:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:18:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:18:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:19:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:19:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:20:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:20:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:21:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:21:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:22:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:22:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:23:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:23:49 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:24:19 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc

Sun Mar 23 10:24:51 2025 Connect MQTT server tcp://10.1.1.172:1883, Energy_Mqtt_BMC1
Comedi DAQ Board Name: K8055 (VM110) 
Subdev AI  0 Analog  Channels 2 Maxdata 255 Ranges 1 : ad_range .min = 0.000, max = 5.000
Subdev AO  1 Analog  Channels 2 Maxdata 255 Ranges 1 : da_range .min = 0.000, max = 5.000
Subdev DI  2 Digital Channels 6 Maxdata 1 Ranges 1 
Subdev DO  3 Digital Channels 8 Maxdata 1 Ranges 1 
Subdev COU 4 Digital Channels 2 Maxdata 65535 Ranges 1 
Sun Mar 23 10:25:21 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:25:51 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:26:21 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:26:51 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:27:21 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:27:51 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:28:21 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:28:51 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:29:21 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc

Sun Mar 23 10:29:58 2025 Connect MQTT server tcp://10.1.1.172:1883, Energy_Mqtt_BMC1
Comedi DAQ Board Name: K8055 (VM110), Driver: vmk80xx
Subdev AI  0 Analog  Channels 2 Maxdata 255 Ranges 1 : ad_range .min = 0.000, max = 5.000
Subdev AO  1 Analog  Channels 2 Maxdata 255 Ranges 1 : da_range .min = 0.000, max = 5.000
Subdev DI  2 Digital Channels 6 Maxdata 1 Ranges 1 
Subdev DO  3 Digital Channels 8 Maxdata 1 Ranges 1 
Subdev COU 4 Digital Channels 2 Maxdata 65535 Ranges 1 
Sun Mar 23 10:30:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:30:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:31:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:31:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:32:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:32:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:33:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:33:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:34:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:34:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:35:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:35:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:36:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:36:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:37:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:37:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:38:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:38:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:39:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:39:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:40:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:40:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:41:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:41:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:42:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:42:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:43:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:43:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:44:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:44:58 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
Sun Mar 23 10:45:28 2025 Sending Comedi data to MQTT server, Topic comedi/bmc/data/bmc
